JTs 	570 	655 	0.440073 	36.106522
K9o 	301 	924 	0.361114 	35.754152
K6s 	337 	888 	0.375940 	34.890001
QJo 	433 	792 	0.404082 	32.816822
Q9s 	457 	768 	0.409880 	32.519706
K5s 	349 	876 	0.371933 	32.303331
K8o 	324 	901 	0.351582 	30.473887
K4s 	367 	858 	0.371425 	30.163283
QTo 	445 	780 	0.398126 	29.716401
K7o 	344 	881 	0.353033 	28.541184
K3s 	379 	846 	0.369025 	28.381805
K2s 	394 	831 	0.367883 	26.730843
Q8s 	469 	756 	0.394731 	26.718552
K6o 	368 	857 	0.355714 	26.675708
J9s 	597 	628 	0.422213 	25.712524
K5o 	408 	817 	0.363569 	24.680974
Q9o 	459 	766 	0.377014 	23.419539
JTo 	585 	640 	0.411106 	23.085252
K4o 	458 	767 	0.373684 	22.845021
Q7s 	484 	741 	0.381931 	22.685237
T9s 	721 	504 	0.434081 	22.491482
Q6s 	499 	726 	0.382276 	21.785164
K3o 	508 	717 	0.383123 	21.392219
J8s 	609 	616 	0.406766 	20.636243
Q5s 	514 	711 	0.379236 	20.321860
K2o 	555 	670 	0.389958 	19.999415
Q8o 	479 	746 	0.363775 	19.819326
Q4s 	547 	678 	0.381543 	18.916352
J9o 	597 	628 	0.389470 	17.799380
Q3s 	568 	657 	0.380696 	17.734011
T8s 	733 	492 	0.418399 	17.465705
J7s 	624 	601 	0.393116 	17.194521
Q7o 	520 	705 	0.359844 	17.077335
Q2s 	591 	634 	0.380441 	16.641032
Q6o 	566 	659 	0.370110 	16.295139
98s 	841 	384 	0.427277 	15.293343
Q5o 	652 	573 	0.386607 	15.034981
J8o 	613 	612 	0.374112 	14.867761
T9o 	721 	504 	0.402190 	14.832206
J6s 	648 	577 	0.383218 	14.718597
T7s 	748 	477 	0.404171 	14.199426
J5s 	686 	539 	0.388455 	14.048416
Q4o 	748 	477 	0.400659 	13.662167
J4s 	751 	474 	0.396332 	12.955471
J7o 	657 	568 	0.368521 	12.666038
Q3o 	857 	368 	0.415272 	12.503232
97s 	853 	372 	0.412903 	12.251417
T8o 	733 	492 	0.385474 	12.156984
J3s 	792 	433 	0.398770 	12.040344
T6s 	767 	458 	0.391983 	11.921088
Q2o 	975 	250 	0.428097 	11.302950
J2s 	891 	334 	0.412488 	11.138727
87s 	945 	280 	0.422015 	11.110552
J6o 	755 	470 	0.378294 	10.780675
98o 	841 	384 	0.394874 	10.271257
T7o 	765 	460 	0.374878 	10.204755
96s 	878 	347 	0.401527 	10.097673
J5o 	855 	370 	0.395413 	9.987293
T5s 	886 	339 	0.401897 	9.946900
T4s 	949 	276 	0.408748 	9.260066
86s 	969 	256 	0.410324 	8.994746
J4o 	947 	278 	0.405076 	8.906238
T6o 	877 	348 	0.385581 	8.571955
97o 	873 	352 	0.384566 	8.570963
T3s 	1026 	199 	0.415998 	8.415718
76s 	1045 	180 	0.418616 	8.318417
95s 	970 	255 	0.403431 	8.261043
J3o 	1047 	178 	0.415307 	7.914721
T2s 	1123 	102 	0.425488 	7.538836
87o 	976 	249 	0.396225 	7.505732
85s 	1039 	186 	0.406723 	7.239171
96o 	987 	238 	0.393276 	7.074151
T5o 	1003 	222 	0.394962 	6.920957
J2o 	1129 	96 	0.420420 	6.885765
75s 	1115 	110 	0.414674 	6.594160
94s 	1063 	162 	0.403925 	6.583641
T4o 	1097 	128 	0.406874 	6.248512
65s 	1159 	66 	0.418775 	6.207388
86o 	1087 	138 	0.402754 	6.099835
93s 	1121 	104 	0.409454 	6.058991
84s 	1145 	80 	0.409633 	5.692773
95o 	1133 	92 	0.406508 	5.650827
T3o 	1145 	80 	0.406672 	5.480421
76o 	1164 	61 	0.410142 	5.439126
92s 	1153 	72 	0.406646 	5.359298
74s 	1198 	27 	0.412623 	5.109201
54s 	1225 	0 	0.414534 	4.850294
T2o 	1149 	76 	0.397258 	4.832254
85o 	1197 	28 	0.407938 	4.812230
64s 	1225 	0 	0.413333 	4.769221
83s 	1201 	24 	0.403003 	4.463809
94o 	1201 	24 	0.400861 	4.345783
75o 	1225 	0 	0.405120 	4.269797
82s 	1207 	18 	0.398164 	4.129509
73s 	1225 	0 	0.400359 	4.018033
93o 	1200 	25 	0.393756 	4.000304
65o 	1225 	0 	0.399443 	3.972305
53s 	1225 	0 	0.396930 	3.851054
63s 	1225 	0 	0.395336 	3.777173
84o 	1225 	0 	0.394468 	3.737896
92o 	1215 	10 	0.388261 	3.585219
43s 	1225 	0 	0.386419 	3.402163
74o 	1225 	0 	0.385498 	3.366747
72s 	1225 	0 	0.381559 	3.221509
54o 	1225 	0 	0.381553 	3.221293
64o 	1225 	0 	0.380105 	3.170312
52s 	1225 	0 	0.378493 	3.114999
62s 	1225 	0 	0.376690 	3.054809
83o 	1225 	0 	0.374838 	2.994827
42s 	1225 	0 	0.368290 	2.796223
82o 	1225 	0 	0.368277 	2.795837
73o 	1225 	0 	0.366023 	2.731972
53o 	1225 	0 	0.362648 	2.640274
63o 	1225 	0 	0.360776 	2.591343
32s 	1225 	0 	0.359844 	2.567461
43o 	1225 	0 	0.351459 	2.366073
72o 	1225 	0 	0.345836 	2.243309
52o 	1225 	0 	0.342846 	2.181602
62o 	1225 	0 	0.340751 	2.139745
42o 	1225 	0 	0.331998 	1.976146
32o 	1225 	0 	0.323032 	1.825374
