value_1	value_2	value_3	number_1	number_2	number_3	number_4	number_5	number_6	number_7	value_4
A4 s	-0.03	-0.05	0.02	0.03	0.07	0.05	0.18	0.03	0.16	0.08
A3	-0.28	-0.34	-0.17	-0.11	-0.12	-0.12	-0.09	-0.11	-0.12	-0.1
A3 s	-0.12	0.02	-0.06	0.06	0.11	-0.09	-0.07	0.11	0	0.05
A2	-0.27	-0.35	-0.16	-0.14	-0.16	-0.14	-0.12	-0.09	-0.06	-0.14
A2 s	-0.12	-0.13	-0.01	-0.04	0.06	0.03	0.03	-0.1	0	0.11
KQ	0.03	-0	0.06	0.15	0.08	0.09	0.13	0.14	0.15	0.17
KQ s	0.36	0.17	0.4	0.31	0.36	0.31	0.42	0.45	0.4	0.42
KJ	-0.08	-0.17	-0.03	-0.02	-0.03	-0.04	0.05	0.01	0.09	0.06
KJ s	0.17	0.12	0.13	0.27	0.32	0.23	0.24	0.29	0.29	0.4
KT	-0.2	-0.16	-0.07	-0.09	-0.06	-0.06	-0.06	-0.04	0	0.07
KT s	0.15	0.03	0.11	0.19	0.15	0.1	0.27	0.06	0.09	0.31
K9	-0.26	-0.22	-0.13	-0.1	-0.09	-0.1	-0.08	-0.1	-0.06	-0.05
K9 s	-0.07	-0.02	-0.06	0.04	0.13	0.03	0.02	0.07	0.09	0.02
K8	-0.27	-0.28	-0.13	-0.1	-0.09	-0.06	-0.08	-0.07	-0.06	-0.08
K8 s	-0.08	-0.12	-0.04	-0.02	-0.03	0	-0.09	0.07	0	0.01
K7	-0.26	-0.32	-0.13	-0.09	-0.07	-0.07	-0.08	-0.06	-0.05	-0.04
K7 s	-0.07	-0.12	-0.09	-0.03	0.12	-0.04	-0.04	-0.04	0.03	-0
K6	-0.27	-0.32	-0.1	-0.05	-0.07	-0.06	-0.07	-0.06	-0.06	-0.06
K6 s	-0.17	-0.17	-0.11	0.03	-0.03	-0.08	-0.06	0.07	0.01	-0.03
K5	-0.29	-0.34	-0.11	-0.08	-0.07	-0.09	-0.07	-0.07	-0.09	-0.03
K5 s	-0.21	-0.13	-0.06	-0.04	-0.06	-0.01	0.01	-0.08	0.02	0.01
K4	-0.3	-0.37	-0.11	-0.08	-0.07	-0.06	-0.08	-0.07	-0.06	0.01
K4 s	-0.16	-0.07	-0.09	-0.09	0.03	-0.04	-0.07	-0.06	-0.03	-0.09
K3	-0.27	-0.38	-0.13	-0.06	-0.07	-0.07	-0.08	-0.06	-0.06	-0.05
K3 s	-0.12	-0.12	-0.1	-0.12	-0.1	-0.03	-0.09	-0.01	-0.08	-0.05
K2	-0.26	-0.37	-0.11	-0.06	-0.06	-0.07	-0.07	-0.05	-0.05	-0.06
K2 s	-0.15	-0.22	-0.16	-0.03	-0.07	-0.09	-0.09	-0.05	0	-0.12
QJ	-0.1	-0.11	-0.1	-0.08	-0.01	-0.1	0.03	-0.03	0.02	0.02
QJ s	0.17	0.07	0.15	0.11	0.16	0.3	0.13	0.2	0.34	0.23
QT	-0.16	-0.16	-0.1	-0.07	-0.05	-0.08	-0.12	-0.03	-0.03	0.01
QT s	0.02	-0.03	0.04	0.12	0.11	0.02	0.15	0.15	0.12	0.07
Q9	-0.25	-0.22	-0.11	-0.11	-0.05	-0.09	-0.08	-0.05	-0.05	-0.07
Q9 s	-0.07	-0.13	-0.04	0.11	0.07	0.06	-0.07	-0.01	0.01	-0
Q8	-0.28	-0.3	-0.11	-0.1	-0.08	-0.09	-0.03	-0.07	-0.05	-0.07
Q8 s	-0.1	-0.18	-0.07	-0.07	-0.12	0.02	0.02	-0.06	-0.07	0.02
Q7	-0.29	-0.34	-0.11	-0.07	-0.06	-0.07	-0.05	-0.06	-0.07	-0.05
Q7 s	-0.2	-0.17	-0.04	-0.12	-0.1	-0.08	-0.04	-0.03	-0.06	0.04
Q6	-0.28	-0.38	-0.11	-0.06	-0.06	-0.06	-0.05	-0.05	-0.04	-0.06
Q6 s	-0.2	-0.15	-0.16	-0.09	-0.05	-0.13	-0.03	-0.07	-0.03	-0.03
Q5	-0.31	-0.39	-0.1	-0.07	-0.04	-0.05	-0.03	-0.05	-0.04	-0.05
Q5 s	-0.21	-0.15	-0.02	-0.03	-0.09	-0.05	-0.06	-0.12	-0.06	-0.09
Q4	-0.27	-0.39	-0.08	-0.05	-0.03	-0.04	-0.04	-0.04	-0.03	-0.05
Q4 s	-0.19	-0.25	-0.09	-0.11	-0.1	-0.12	-0.07	-0.01	-0.05	-0.06
Q3	-0.27	-0.34	-0.12	-0.03	-0.05	-0.03	-0.05	-0.05	-0.04	-0.04
Q3 s	-0.27	-0.33	-0.01	-0.12	-0.08	-0.01	-0.07	-0.13	-0.13	0.01
Q2	-0.3	-0.4	-0.11	-0.05	-0.04	-0.05	-0.05	-0.04	-0.04	-0.04
Q2 s	-0.29	-0.24	-0.11	-0.1	-0.11	-0.1	-0.05	-0.11	-0.1	-0.08
JT	-0.2	-0.19	-0.12	-0.11	-0.02	-0.07	-0.02	0	-0.03	-0.01
JT s	0.07	0.01	-0.04	0.09	0.01	0.14	0.17	0.12	0.2	0.15
J9	-0.22	-0.27	-0.15	-0.07	-0.07	-0.08	-0.09	-0.09	-0.07	-0.05
J9 s	-0.04	-0.12	-0.09	-0.04	-0.11	-0.03	-0.01	0	0.07	0.18
J8	-0.28	-0.26	-0.07	-0.08	-0.07	-0.08	-0.09	-0.04	-0.06	-0.06
J8 s	-0.1	-0.23	-0.06	-0.18	-0.12	-0.03	-0.05	0.02	-0.01	-0.02
J7	-0.28	-0.35	-0.1	-0.06	-0.06	-0.04	-0.05	-0.04	-0.05	-0.05
J7 s	-0.15	-0.24	-0.12	-0.02	-0.01	-0.11	-0.06	-0.08	-0.02	-0.08
J6	-0.28	-0.37	-0.07	-0.06	-0.04	-0.04	-0.04	-0.04	-0.04	-0.05
J6 s	-0.2	-0.27	-0.19	-0.11	-0.15	-0.05	-0.04	-0.07	-0.06	0.01
J5	-0.28	-0.38	-0.11	-0.04	-0.06	-0.05	-0.05	-0.03	-0.05	-0.03
J5 s	-0.25	-0.23	-0.17	-0.05	-0.08	-0.1	-0.15	-0.17	-0.08	-0.11
J4	-0.27	-0.38	-0.1	-0.04	-0.05	-0.04	-0.03	-0.04	-0.03	-0.04
J4 s	-0.28	-0.2	-0.09	-0.03	-0.12	-0.05	-0.06	-0.09	0.05	-0.09
J3	-0.28	-0.42	-0.12	-0.04	-0.03	-0.03	-0.04	-0.03	-0.03	-0.03
J3 s	-0.27	-0.31	-0.08	-0.06	-0.1	-0.13	-0.11	-0.07	-0.1	-0.04
J2	-0.28	-0.43	-0.08	-0.04	-0.04	-0.03	-0.04	-0.03	-0.02	-0.04
J2 s	-0.27	-0.32	-0.12	-0.12	-0.08	-0.07	-0.01	-0.08	-0.1	-0.11
T9	-0.14	-0.31	-0.09	-0.07	-0.08	-0.07	-0.07	-0.09	-0.05	-0.07
T9 s	-0.08	-0.1	-0.05	-0.02	0.09	-0.1	0.05	0.02	0.06	0.11
T8	-0.25	-0.29	-0.11	-0.06	-0.04	-0.06	-0.04	-0.05	-0.04	-0.04
T8 s	-0.13	-0.16	-0.02	-0.07	0.02	0.01	0.04	0.03	0.06	0.08
T7	-0.26	-0.33	-0.07	-0.04	-0.03	-0.03	-0.01	-0.05	-0.03	-0.03
T7 s	-0.17	-0.15	-0.12	-0.07	-0.04	-0.06	-0.09	0.03	0.06	-0.09
T6	-0.3	-0.36	-0.1	-0.04	-0.03	-0.01	-0.03	-0.02	-0.02	-0.03
T6 s	-0.19	-0.31	-0.14	-0.12	-0.11	-0.06	-0.11	-0.07	-0.07	-0.05
T5	-0.29	-0.39	-0.09	-0.03	-0.03	-0.02	-0.02	-0.03	-0.02	-0.02
T5 s	-0.28	-0.23	-0.1	-0.07	-0.01	-0.09	-0.05	-0.02	-0.04	-0.08
T4	-0.27	-0.41	-0.09	-0.03	-0.01	0	-0.02	-0.02	-0.01	-0.01
T4 s	-0.26	-0.33	-0.12	-0.09	-0.08	-0.07	-0.11	-0.13	-0.05	-0.06
T3	-0.28	-0.41	-0.09	-0.03	-0.03	-0.01	-0.01	-0.02	-0.02	-0.02
T3 s	-0.23	-0.3	-0.11	-0.07	-0.04	-0.04	-0.03	-0.05	-0.04	-0.11
T2	-0.28	-0.42	-0.1	-0.01	-0.02	-0.02	-0.02	-0.02	-0.01	-0.01
T2 s	-0.29	-0.31	-0.11	-0.1	-0.08	-0.07	-0.07	-0.1	-0.06	-0.1
98	-0.18	-0.32	-0.1	-0.07	-0.08	-0.05	-0.08	-0.05	-0.04	-0.09
98 s	-0.03	-0.18	-0.11	-0.05	-0.15	-0.11	0.04	0.06	0.05	0.09
97	-0.22	-0.32	-0.09	-0.03	-0.03	-0.04	-0.02	-0.03	-0.04	-0.06
97 s	-0.17	-0.13	0.03	-0.07	-0.05	0.04	-0.07	-0.01	-0.13	0.04
96	-0.29	-0.34	-0.09	-0.04	-0.02	-0.02	-0.04	-0.04	-0.02	-0.03
96 s	-0.18	-0.22	-0.13	-0.09	-0.08	-0.08	-0.07	-0.09	-0.09	-0.03
95	-0.27	-0.39	-0.08	-0.04	-0.02	-0.02	-0.03	-0.02	-0.02	-0.02
95 s	-0.23	-0.29	-0.11	-0.09	-0.1	-0.1	-0.08	-0.07	-0.08	-0.08
94	-0.28	-0.42	-0.08	-0.02	-0.02	-0.01	-0.02	-0.01	0.01	-0.02
94 s	-0.29	-0.38	-0.1	-0.1	-0.08	-0.04	-0.08	-0.07	-0.11	-0.08
93	-0.26	-0.41	-0.08	-0.03	-0.02	-0.02	-0.01	-0.02	-0.02	-0.02
93 s	-0.17	-0.37	-0.11	-0.07	-0.06	-0.16	-0.09	-0.04	-0.09	-0.09
92	-0.26	-0.39	-0.08	-0.02	0.01	-0.01	-0.01	-0.02	-0.02	-0.01
92 s	-0.22	-0.34	-0.11	-0.06	-0.1	-0.08	-0.1	-0.11	-0.08	-0.09
87	-0.23	-0.31	-0.12	-0.08	-0.08	-0.07	-0.06	-0.08	-0.09	-0.08
87 s	-0.17	-0.19	0.11	-0.02	-0.09	-0.05	-0.02	-0.07	0	0.02
86	-0.25	-0.3	-0.09	-0.03	-0.05	-0.04	-0.03	-0.03	-0.03	-0.02
86 s	-0.17	-0.22	-0.05	-0.09	-0.08	-0.07	-0.02	-0.04	-0.02	0
85	-0.25	-0.36	-0.07	-0.03	-0.03	-0.02	-0.02	0	-0.02	-0.02
85 s	-0.23	-0.27	-0.1	-0.1	-0.05	-0.1	-0.1	-0.05	-0.11	-0.03
84	-0.28	-0.38	-0.08	-0.03	-0.02	-0.02	-0.02	-0.02	-0.01	-0.02
84 s	-0.2	-0.3	-0.12	-0.1	-0.08	-0.1	-0.08	-0.09	-0.14	-0.14
83	-0.29	-0.41	-0.08	-0.04	-0.01	-0.02	-0.01	-0.01	-0.01	-0.01
83 s	-0.25	-0.31	-0.12	-0.07	-0.07	-0.09	-0.11	-0.05	-0.08	-0.12
82	-0.27	-0.4	-0.08	0.02	-0.01	-0.01	-0.02	-0.01	-0.01	-0.01
82 s	-0.26	-0.35	-0.15	-0.08	-0.09	-0.08	-0.06	-0.06	0.05	-0.03
76	-0.25	-0.32	-0.07	-0.07	-0.04	-0.01	-0.05	-0.03	-0.02	-0.05
76 s	-0.17	-0.1	-0.04	-0.02	-0.04	-0.03	0	0.03	0	0.12
75	-0.27	-0.35	-0.07	-0.02	-0.02	-0.02	-0.01	-0.02	-0.02	-0.03
75 s	-0.16	-0.24	-0.14	-0.08	-0.03	-0.06	-0.1	-0.05	-0.08	0.07
74	-0.27	-0.38	-0.07	-0.03	-0.02	-0.01	-0.01	-0.01	-0.02	-0.02
74 s	-0.17	-0.24	-0.1	-0.1	-0.08	0.06	-0.06	-0.04	0.03	-0.07
73	-0.26	-0.42	-0.08	-0.03	-0.02	-0.01	-0.01	-0.02	0	-0.01
73 s	-0.27	-0.34	-0.12	-0.1	-0.06	-0.1	-0.05	-0.08	-0.1	-0.08
72	-0.27	-0.41	-0.08	-0.03	-0.01	-0.02	-0.01	-0.02	-0.02	-0.01
72 s	-0.26	-0.34	-0.12	-0.08	-0.08	-0.06	-0.05	-0.07	-0.08	-0.07
65	-0.27	-0.31	-0.07	-0.05	-0.05	-0.04	-0.05	-0.05	-0.05	-0.03
65 s	-0.15	-0.22	-0.08	-0.06	-0.05	-0.06	-0.14	-0.02	0.07	-0.04
64	-0.27	-0.33	-0.07	-0.02	-0.03	-0.02	-0.02	-0.03	-0.02	-0.03
64 s	-0.18	-0.21	0.06	-0.05	-0.06	-0.02	0.04	-0.03	-0.02	-0.03
63	-0.25	-0.37	-0.1	-0.03	-0.02	-0.02	-0.02	-0.02	-0.02	-0.03
63 s	-0.21	-0.3	-0.12	-0.15	-0.05	-0.12	-0.07	-0.08	-0.01	0.05
62	-0.27	-0.41	-0.09	-0.01	-0.02	-0.01	-0.01	-0.01	-0.01	-0.01
62 s	-0.25	-0.32	-0.08	-0.08	-0.08	-0.1	-0.07	-0.07	-0.08	-0.1
54	-0.27	-0.32	-0.08	-0.06	-0.05	-0.03	-0.06	-0.04	0.03	-0.06
54 s	-0.2	-0.15	-0.07	-0.01	-0.04	-0.07	-0.01	-0.03	0	-0
53	-0.24	-0.33	-0.07	-0.03	-0.02	-0.02	0.01	-0.03	-0.03	-0.04
53 s	-0.23	-0.26	-0.08	-0.06	0.04	-0.03	-0.1	-0.08	-0.08	-0.03
52	-0.25	-0.37	-0.09	-0.02	-0.03	-0.01	-0.02	-0.01	-0.01	-0.02
52 s	-0.22	-0.3	-0.12	-0.11	-0.06	-0.09	-0.1	-0.02	-0.07	-0.02
43	-0.27	-0.36	-0.09	-0.07	-0.03	-0.04	-0.04	-0.02	-0.03	-0.04
43 s	-0.25	-0.22	-0.03	-0.05	-0.06	-0.09	-0.09	-0.04	-0.06	-0.11
42	-0.26	-0.4	-0.09	-0.02	-0.02	-0.02	-0.02	-0.02	-0.02	-0.02
42 s	-0.29	-0.26	-0.18	-0.1	-0.06	-0.09	0.03	-0.07	-0.06	-0.03
32	-0.29	-0.41	-0.07	-0.05	-0.04	-0.04	-0.04	-0.04	-0.03	-0.04
32 s	-0.17	-0.33	-0.14	-0.08	-0.1	-0.08	-0.09	-0.07	-0.08	-0.1
